taxonname,replicateid,count,time,latitude,longitude,region_name,island,site,reef_zone,depth_bin,sitevisitid,date_,obs_year,rep,depth,hard_coral,soft_coral,ma,cca,ta,sand,tunicate,zoanthid,corallimorph,clam,cyano,sponge,other,other_type,habitat_code,habitat_type,current_strength,visibility,max_height,urchin_dacor,boring_urchin_dacor,min_depth,max_depth,objectid,species,commonname,commonfamilyall,family,scientific_name,rank,trophic
Ctenochaetus strigosus,1845958526,0,2013-08-03T00:00:00Z,20.24934433,-155.7970292,Main Hawaiian Islands,Hawaii,HAW-468,Forereef,Shallow,5926,2013-08-03T00:00:00Z,2013,A,4,4,0,1,5,75,15,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,8,1.3,R,O,4.2,5.2,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958527,0,2013-08-03T00:00:00Z,20.22456148,-155.7370606,Main Hawaiian Islands,Hawaii,HAW-416,Forereef,Mid,5923,2013-08-03T00:00:00Z,2013,A,10,10,0,5,10,74,1,0,0,0,0,0,0,NA,NA,SAG,Spur and Groove,None,15,0.6,R,O,10.3,10.9,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958528,0,2013-08-03T00:00:00Z,20.24326519,-155.7588726,Main Hawaiian Islands,Hawaii,HAW-402,Forereef,Deep,5924,2013-08-03T00:00:00Z,2013,A,28,5,0,5,5,65,20,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,16,1.6,R,R,27.6,30,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958529,0,2013-08-03T00:00:00Z,20.22456148,-155.7370606,Main Hawaiian Islands,Hawaii,HAW-416,Forereef,Mid,5923,2013-08-03T00:00:00Z,2013,A,10,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,SAG,Spur and Groove,None,15,1,R,R,9.4,10,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958530,0,2013-08-03T00:00:00Z,20.26168551,-155.8246959,Main Hawaiian Islands,Hawaii,HAW-433,Forereef,Mid,5927,2013-08-03T00:00:00Z,2013,A,13,10,0,10,5,65,10,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,20,2,R,O,13.6,13.6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958531,1,2013-08-03T00:00:00Z,20.24326519,-155.7588726,Main Hawaiian Islands,Hawaii,HAW-402,Forereef,Deep,5924,2013-08-03T00:00:00Z,2013,A,28,5,0,25,5,25,40,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,20,3,R,R,27.3,28.8,1944851,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958532,5,2013-08-03T00:00:00Z,20.27029943,-155.8421885,Main Hawaiian Islands,Hawaii,HAW-398,Forereef,Deep,5928,2013-08-03T00:00:00Z,2013,A,24,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,PAV,Pavement,Slight,18,1.6,R,O,23.6,25.8,1944893,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958533,0,2013-08-03T00:00:00Z,20.24361681,-155.8899036,Main Hawaiian Islands,Hawaii,HAW-460,Forereef,Shallow,5934,2013-08-03T00:00:00Z,2013,A,5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,17,1.5,O,O,5.5,5.5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958534,0,2013-08-03T00:00:00Z,20.25059533,-155.7924614,Main Hawaiian Islands,Hawaii,HAW-448,Forereef,Mid,5931,2013-08-03T00:00:00Z,2013,A,12,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,30,3,R,R,11,12.5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958535,0,2013-08-03T00:00:00Z,20.24433305,-155.7739823,Main Hawaiian Islands,Hawaii,HAW-469,Forereef,Shallow,5925,2013-08-03T00:00:00Z,2013,A,5,5,0,15,0,70,10,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,8,0.5,R,R,5.2,5.2,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958536,0,2013-08-03T00:00:00Z,20.24934433,-155.7970292,Main Hawaiian Islands,Hawaii,HAW-468,Forereef,Shallow,5926,2013-08-03T00:00:00Z,2013,A,5,10,0,20,5,55,10,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,9,1.2,R,R,5.5,5.8,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958537,0,2013-08-03T00:00:00Z,20.26168551,-155.8246959,Main Hawaiian Islands,Hawaii,HAW-433,Forereef,Mid,5927,2013-08-03T00:00:00Z,2013,A,13,15,0,25,5,40,15,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,20,1.3,R,R,13.3,13.9,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958538,2,2013-08-03T00:00:00Z,20.27029943,-155.8421885,Main Hawaiian Islands,Hawaii,HAW-398,Forereef,Deep,5928,2013-08-03T00:00:00Z,2013,A,23,5,0,40,5,50,0,0,0,0,0,0,0,NA,NA,PAV,Pavement,Slight,20,1.2,R,R,22.7,24.2,1945105,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958539,0,2013-08-03T00:00:00Z,20.24433305,-155.7739823,Main Hawaiian Islands,Hawaii,HAW-469,Forereef,Shallow,5925,2013-08-03T00:00:00Z,2013,A,5,2,0,25,0,53,20,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,8,0.7,R,R,5,5,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958540,0,2013-08-03T00:00:00Z,20.19613224,-155.7117529,Main Hawaiian Islands,Hawaii,HAW-431,Forereef,Mid,5930,2013-08-03T00:00:00Z,2013,A,10,5,0,3,1,56,35,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,14,1.4,R,R,10.7,10.7,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958542,1,2013-08-03T00:00:00Z,20.25059533,-155.7924614,Main Hawaiian Islands,Hawaii,HAW-448,Forereef,Mid,5931,2013-08-03T00:00:00Z,2013,A,13,10,0,5,1,79,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,20,3,R,R,12.1,13.9,1945180,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,Species,H
Ctenochaetus strigosus,1845958543,0,2013-08-03T00:00:00Z,20.26759828,-155.8473238,Main Hawaiian Islands,Hawaii,HAW-407,Forereef,Mid,5933,2013-08-03T00:00:00Z,2013,A,14,5,0,0,5,80,10,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,13,1.5,R,R,13.6,14.6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958544,0,2013-08-03T00:00:00Z,20.19749522,-155.7091345,Main Hawaiian Islands,Hawaii,HAW-397,Forereef,Deep,5929,2013-08-03T00:00:00Z,2013,A,22,5,0,0,1,74,20,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,15,1.5,R,R,22.1,23.6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
Ctenochaetus strigosus,1845958545,0,2013-08-03T00:00:00Z,20.24361681,-155.8899036,Main Hawaiian Islands,Hawaii,HAW-460,Forereef,Shallow,5934,2013-08-03T00:00:00Z,2013,A,5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,ROB,Rock/Boulder,None,20,2.5,O,O,5.5,6,NA,CTST,Spotted surgeonfish,Surgeonfish,Acanthuridae,Ctenochaetus strigosus,NA,H
