"","Archipelago","Species","Area","Elev","Temp"
"1","Aldabra",276,130.067,10,26.1
"2","Aldabra",147,12.077,11,26
"3","Aldabra",145,10.894,2,26.3
"4","Aldabra",141,4.548,5,26.3
"5","Azores",144,17.115,627,17.5
"6","Azores",199,173.091,1038,17.5
"7","Azores",190,140.982,852,17.6
"8","Azores",114,60.692,371,17.3
"9","Azores",210,444.974,2260,17.6
"10","Azores",170,96.892,575,18
"11","Azores",184,243.781,1053,17.5
"12","Azores",213,744.721,1094,17.5
"13","Azores",209,400.562,930,17.4
"14","Balearic Islands",353,13.859,140,17
"15","Balearic Islands",108,3.107,98,16.5
"16","Balearic Islands",533,87.32,184,17.6
"17","Balearic Islands",733,578.115,383,17.5
"18","Balearic Islands",1123,3637.754,1212,17
"19","Balearic Islands",860,702.195,246,17
"20","Canaries",541,273.524,1412,20.5
"21","Canaries",553,1675.279,651,20.3
"22","Canaries",851,1571.354,1867,20.9
"23","Canaries",657,372.206,1376,20.5
"24","Canaries",646,716.459,2357,20.4
"25","Canaries",529,860.704,623,19.9
"26","Canaries",967,2040.135,3450,21
"27","Cape Verde",95,629.766,267,24.2
"28","Cape Verde",40,2.936,5,23.7
"29","Cape Verde",92,67.631,848,24.6
"30","Cape Verde",138,474.623,2517,25
"31","Cape Verde",84,272.13,247,24.7
"32","Cape Verde",48,6.087,27,23.7
"33","Cape Verde",72,223.345,161,24.3
"34","Cape Verde",48,34.695,162,23.5
"35","Cape Verde",152,1009.575,1086,25.2
"36","Cape Verde",177,791.795,1934,26.4
"37","Cape Verde",131,349.64,1062,24
"38","Cape Verde",128,226.303,510,24.3
"39","Cook islands",61,17.073,81,25.7
"40","Cook islands",127,29.476,74,25.1
"41","Cook islands",149,48.541,140,24
"42","Cook islands",35,7.403,8,25.5
"43","Cook islands",107,20.42,29,24.9
"44","Cook islands",111,24.696,15,25.1
"45","Cook islands",264,69.107,402,24.2
"46","Cook islands",32,1.121,12,25.2
"47","Dutch Caribbean",371,181.938,129,27.6
"48","Dutch Caribbean",405,285.904,134,27.6
"49","Dutch Caribbean",549,437.496,188,27.6
"50","Galapagos",110,64.114,172,23.3
"51","Galapagos",169,649.106,1462,24.4
