NtoPratio,NutrientLevel,ShadeCloth,FoodWeb,Tank,Zoop_Chao1,Phyto#taxa,Phyto_Chao1,Block
14,H,N,A,15,0,9,9,1
14,H,N,A,115,0,8,11,4
14,H,N,G,1,9.333333333,16,19,1
14,H,N,G,66,9.5,13,19,2
14,H,N,G,84,5,8,8,3
14,H,N,G,89,15,10,10,4
14,H,N,P,36,9,12,15.33333333,1
14,H,N,P,75,14,12,12,2
14,H,N,P,86,9,5,5,3
14,H,Y,A,11,0,17,20,1
14,H,Y,A,54,0,11,11,2
14,H,Y,A,104,0,3,3,3
14,H,Y,A,125,0,6,6,4
14,H,Y,G,30,11,14,17,1
14,H,Y,G,60,18,12,18,2
14,H,Y,G,97,0,13,18.25,3
14,H,Y,G,107,10,10,20,4
14,H,Y,P,31,10,7,7,1
14,H,Y,P,76,9,10,11,2
14,H,Y,P,88,13,8,9.5,3
14,L,N,A,16,0,15,15,1
14,L,N,A,24,0,8,8,2
14,L,N,A,73,0,15,18,3
14,L,N,A,118,0,7,10,4
14,L,N,G,10,8,17,17,1
14,L,N,G,82,10,18,20,3
14,L,N,G,106,6,17,27.5,4
14,L,N,P,34,0,19,24.25,1
14,L,N,P,43,11,10,16,2
14,L,Y,A,8,0,10,10,1
14,L,Y,A,41,0,12,12,2
14,L,Y,A,62,0,14,17,3
14,L,Y,A,112,0,8,9.5,4
14,L,Y,G,19,0,12,12,1
14,L,Y,G,77,14,9,24,3
14,L,Y,G,122,7,13,14,4
14,L,Y,P,3,14,12,12.33333333,1
14,L,Y,P,51,10.5,15,18.75,2
14,L,Y,P,85,10,14,17,3
