Site,Date,Location,Fishpond,Mangrove,Latitude,Longitude,polychaete,barnacle,copepod,monstrillidae,para.cope,amphipod,cumacean,Lucifer,shrimp,megalopa1,megalopa2,megalopa.oth,zoea,postlarval.crab,lobster,isopod,mysid,mantis.shrimp,ostracod,cephalopod,fish,hydropoids,jellyfish,bivalve,gastropod,nematode,leech,nauplius,Night,mangrove.shoreline,non.mangrove.shoreline,percent.mangrove.shoreline,pond.area,d13C,C,d15N,N,relief,percent.trees,precip,percent.impervious,percent.developed
KAFP,6.6.15,PM,yes,yes,21.06535,-156.820333,76,0,63808,58,1,59,1,67,62,127,9,0,1616,0,1,0,52,0,0,1,4,0,0,0,0,1,0,1,1,288.8,710.83,0.288906896,78422.23,-26.53,1366.015,1.02,28.82,2230,16,55.1,1.106666667,5.493333333
KAFP,6.6.15,PO,yes,no,21.06425,-156.819017,8,0,5664,64,0,608,16,56,288,512,32,0,8608,1,0,12,0,0,0,0,8,0,0,0,0,0,0,0,1,288.8,710.83,0.288906896,78422.23,-26.53,1366.015,1.02,28.82,2230,16,55.1,1.106666667,5.493333333
KE,6.7.15,PM,yes,yes,21.077667,-157.000767,0,0,3752,9,0,0,4,0,1272,1,1,0,936,0,2,11,0,0,8,0,2,0,0,0,0,0,7,0,2,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
KE,6.7.15,PO,yes,no,21.077567,-157.00195,0,0,221184,1,0,42,6,12,1088,30,5,0,1547,0,8,24,0,2,0,2,2,0,0,0,2,0,0,0,2,748.6,402.46,0.650357062,127772.52,-29.945,1332.315,2.895,29.27,437,4,19.2,7.25,36.6
AL,6.7.15,PM,yes,yes,21.070133,-156.979733,0,0,9264,17,0,85,5,4,37,31,15,3,20,0,0,34,0,11,0,0,3,0,0,0,0,2,0,0,2,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
AL,6.7.15,PO,yes,no,21.0715,-156.981567,2,1,92,38,0,23,110,0,59,6,4,4,355,1,1,9,14,1,0,0,2,0,0,0,3,0,9,0,2,477.6,550.85,0.464388157,99417.14,-28.475,1318.065,3.075,36.31,2270,3,30.9,0.67,4.67
KEA,6.8.15,PM,yes,yes,21.05745,-156.852417,4,0,15,21,0,4,0,2,357,0,0,0,62,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,3,1138.49,626.56,0.645018555,210561.86,-30.705,1417.85,2.505,29.72,1580,6,40.5,3.59,21.2
KEA,6.8.15,PO,yes,no,21.055633,-156.852433,12,0,39,395,0,21,0,18,596,1,2,2,201,0,1,1,4,0,0,0,3,0,0,0,0,0,0,0,3,1138.49,626.56,0.645018555,210561.86,-30.705,1417.85,2.505,29.72,1580,6,40.5,3.59,21.2
KU,6.9.15,PM,yes,yes,21.075867,-156.79175,10,0,71,51,0,431,0,0,867,9,8,0,400,0,0,3,0,0,0,0,3,0,0,1,1,0,0,0,4,571.43,656.84,0.465231586,126497.62,-27.945,1417.905,1.67,28.375,689,2,40.8,1.74,13.2
KU,6.9.15,PO,yes,no,21.073067,-156.79095,7,0,59,6,0,9,11,0,134,4,1,0,39,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,4,571.43,656.84,0.465231586,126497.62,-27.945,1417.905,1.67,28.375,689,2,40.8,1.74,13.2
