Population,ID,Block,Drought,Fate,Dead,Height,Shoot,Root,Longevity,Terminal_GWC,MAR,MET
Kealia,518,G,control,terminaldrought,1,NA,NA,NA,12,63.88421455,115,1137
Kealia,516,G,control,harvest,0,0.4,0.0029,3.00E-04,NA,NA,115,1137
Kealia,517,G,control,harvest,0,1.8,0.0451,0.0129,NA,NA,115,1137
Kealia,507,G,drought,terminaldrought,1,NA,NA,NA,18,55.08796252,115,1137
Kealia,519,G,control,terminaldrought,1,NA,NA,NA,14,64.29916818,115,1137
Kealia,520,G,control,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,510,G,drought,terminaldrought,1,NA,NA,NA,18,55.02772732,115,1137
Kealia,511,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,508,G,drought,terminaldrought,1,NA,NA,NA,18,56.28167129,115,1137
Kealia,509,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,514,G,control,harvest,0,1.1,0.0068,0.0024,NA,NA,115,1137
Kealia,515,G,control,harvest,0,1.3,0.0199,0.0041,NA,NA,115,1137
Kealia,502,G,drought,harvest,0,1.5,0.0183,0.0042,NA,NA,115,1137
Kealia,503,G,drought,harvest,0,1.2,0.0215,0.0063,NA,NA,115,1137
Kealia,504,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,505,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,521,G,control,terminaldrought,1,NA,NA,NA,20,58.79194952,115,1137
Kealia,522,G,control,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,523,G,control,terminaldrought,1,NA,NA,NA,20,56.89358447,115,1137
Kealia,524,G,control,terminaldrought,1,NA,NA,NA,25,53.04665838,115,1137
Kealia,501,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,512,G,control,harvest,0,1.2,0.0258,0.0096,NA,NA,115,1137
Kealia,513,G,control,harvest,0,0.6,0.0046,0.0016,NA,NA,115,1137
Kealia,500,G,drought,harvest,1,NA,NA,NA,NA,NA,115,1137
Kealia,506,G,drought,terminaldrought,1,NA,NA,NA,18,57.43378908,115,1137
Kuaokala,331,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,335,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,336,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,332,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,339,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,340,E,control,terminaldrought,1,NA,NA,NA,46,45.41351946,122,817
Kuaokala,337,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,334,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,300,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,330,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,315,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,338,E,control,terminaldrought,1,NA,NA,NA,20,56.54030022,122,817
Kuaokala,318,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,319,E,drought,terminaldrought,1,NA,NA,NA,27,53.98508462,122,817
Kuaokala,320,E,control,harvest,0,2.5,0.0395,0.0087,NA,NA,122,817
Kuaokala,317,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,322,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,323,E,control,harvest,0,0.8,0.0045,0.0011,NA,NA,122,817
Kuaokala,324,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,321,E,control,harvest,0,1.1,0.0165,0.0043,NA,NA,122,817
Kuaokala,299,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,328,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,329,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,301,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,302,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,303,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,304,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,305,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,306,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,307,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,309,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,310,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,311,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,312,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,605,H,drought,harvest,0,8.3,0.1984,0.0389,NA,NA,122,817
Kuaokala,313,E,drought,terminaldrought,1,NA,NA,NA,20,56.16502534,122,817
Kuaokala,314,E,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,609,H,drought,terminaldrought,1,NA,NA,NA,13,51.48293336,122,817
Kuaokala,610,H,control,harvest,0,0.8,0.0203,0.0055,NA,NA,122,817
Kuaokala,611,H,control,harvest,0,1.1,0.0313,0.0077,NA,NA,122,817
Kuaokala,612,H,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,613,H,control,harvest,0,6.6,0.3035,0.0497,NA,NA,122,817
Kuaokala,614,H,control,terminaldrought,1,NA,NA,NA,36,43.10737164,122,817
Kuaokala,615,H,control,terminaldrought,1,NA,NA,NA,15,52.17181375,122,817
Kuaokala,616,H,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,617,H,control,terminaldrought,1,NA,NA,NA,19,55.42403671,122,817
Kuaokala,325,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,326,E,control,harvest,1,NA,NA,NA,NA,NA,122,817
Kuaokala,327,E,control,harvest,0,3,0.0486,0.0115,NA,NA,122,817
Kuaokala,606,H,drought,terminaldrought,1,NA,NA,NA,13,56.6822832,122,817
Kuaokala,607,H,drought,terminaldrought,1,NA,NA,NA,34,41.195621,122,817
Kuaokala,608,H,drought,terminaldrought,1,NA,NA,NA,27,48.35213692,122,817
Kuaokala,604,H,drought,harvest,0,1.8,0.0259,0.0066,NA,NA,122,817
Kuaokala,602,H,drought,harvest,0,1.1,0.0244,0.0058,NA,NA,122,817
Kuaokala,603,H,drought,harvest,1,NA,NA,NA,NA,NA,122,817
Kuliouou,61,B,drought,harvest,0,0.5,0.0032,0.0024,NA,NA,184,782
Kuliouou,62,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,65,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,66,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,67,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,68,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,69,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,70,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,71,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,72,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,73,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,74,B,drought,terminaldrought,1,NA,NA,NA,26,56.17793288,184,782
Kuliouou,75,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,76,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,77,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,78,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,79,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,82,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,83,B,drought,terminaldrought,1,NA,NA,NA,32,51.95668802,184,782
Kuliouou,84,B,drought,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,86,B,control,harvest,0,3.2,0.0767,0.0127,NA,NA,184,782
Kuliouou,87,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,88,B,control,harvest,0,1,0.0184,0.004,NA,NA,184,782
Kuliouou,89,B,control,harvest,0,2.1,0.0228,0.0031,NA,NA,184,782
Kuliouou,90,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,91,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,94,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,95,B,control,harvest,0,0.2,0.0025,4.00E-04,NA,NA,184,782
Kuliouou,96,B,control,harvest,0,1.8,0.0868,0.0314,NA,NA,184,782
Kuliouou,97,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,98,B,control,terminaldrought,1,NA,NA,NA,53,43.94253753,184,782
Kuliouou,99,B,control,terminaldrought,1,NA,NA,NA,60,39.3202027,184,782
Kuliouou,100,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,101,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,102,B,control,terminaldrought,1,NA,NA,NA,60,39.38091596,184,782
Kuliouou,105,B,control,terminaldrought,1,NA,NA,NA,25,58.28329668,184,782
Kuliouou,106,B,control,terminaldrought,1,NA,NA,NA,27,56.4724161,184,782
Kuliouou,107,B,control,harvest,1,NA,NA,NA,NA,NA,184,782
Kuliouou,108,B,control,terminaldrought,1,NA,NA,NA,32,53.72980208,184,782
Manana1,375,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,374,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,379,F,control,harvest,0,1.4,0.0403,0.0058,NA,NA,197,1338
Manana1,376,F,drought,terminaldrought,1,NA,NA,NA,32,52.1187494,197,1338
Manana1,377,F,control,harvest,0,4.1,0.1547,0.0404,NA,NA,197,1338
Manana1,378,F,control,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,383,F,control,harvest,0,1.2,0.0294,0.0052,NA,NA,197,1338
Manana1,371,F,drought,terminaldrought,1,NA,NA,NA,39,44.28673869,197,1338
Manana1,372,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,373,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,387,F,control,terminaldrought,1,NA,NA,NA,45,36.41457118,197,1338
Manana1,388,F,control,terminaldrought,1,NA,NA,NA,32,52.55330338,197,1338
Manana1,389,F,control,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,390,F,control,terminaldrought,1,NA,NA,NA,33,48.26704274,197,1338
Manana1,391,F,control,terminaldrought,1,NA,NA,NA,27,54.12563343,197,1338
Manana1,392,F,control,terminaldrought,1,NA,NA,NA,38,47.6847691,197,1338
Manana1,380,F,control,harvest,0,2.2,0.09,0.0196,NA,NA,197,1338
Manana1,381,F,control,harvest,0,1.2,0.0256,0.0068,NA,NA,197,1338
Manana1,382,F,control,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,396,F,control,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,368,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,370,F,drought,terminaldrought,1,NA,NA,NA,18,58.71593843,197,1338
Manana1,385,F,control,harvest,0,1.7,0.0409,0.0091,NA,NA,197,1338
Manana1,356,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,357,F,drought,harvest,0,1.8,0.042,0.0137,NA,NA,197,1338
Manana1,358,F,drought,harvest,0,NA,0.0606,0.011,NA,NA,197,1338
Manana1,359,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,360,F,drought,harvest,0,1.5,NA,NA,NA,NA,197,1338
Manana1,361,F,drought,harvest,0,3.1,0.0804,0.021,NA,NA,197,1338
Manana1,362,F,drought,harvest,0,2.6,0.0501,0.0157,NA,NA,197,1338
Manana1,363,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
Manana1,365,F,drought,harvest,1,NA,NA,NA,NA,NA,197,1338
