"","Site","Species","Bandno","Date","Sex","Age","Oldpox","Activepox","Malaria","Elev"
"1","AIN","APAP","159174793","7/22/04","U","H",0,0,2,"mid"
"2","AIN","APAP","159174964","7/6/04","M","H",0,1,2,"mid"
"3","AIN","APAP","159174965","7/7/04","F","H",0,0,2,"mid"
"4","AIN","APAP","159174966","7/7/04","F","H",0,0,2,"mid"
"5","AIN","APAP","159174967","7/9/04","F","H",0,0,2,"mid"
"6","AIN","APAP","159174968","7/19/04","F","H",0,0,2,"mid"
"7","AIN","APAP","159174969","7/19/04","M","H",0,0,2,"mid"
"8","AIN","APAP","159174970","7/19/04","M","H",0,0,2,"mid"
"9","AIN","APAP","159174971","7/19/04","F","H",0,0,2,"mid"
"10","AIN","APAP","159174972","7/21/04","F","H",0,1,2,"mid"
"11","AIN","APAP","159174973","7/22/04","U","H",0,0,2,"mid"
"12","AIN","APAP","159174975","7/23/04","F","H",0,0,2,"mid"
"13","AIN","APAP","159174976","12/14/04","F","H",0,0,2,"mid"
"14","AIN","APAP","165180041","4/5/01","M","A",0,0,2,"mid"
"15","AIN","APAP","165180042","4/5/01","F","A",0,0,2,"mid"
"16","AIN","APAP","165180400","6/19/01","U","H",0,0,2,"mid"
"17","AIN","APAP","177110482","6/18/02","U","H",0,0,2,"mid"
"18","AIN","APAP","177111667","11/20/01","F","A",0,0,2,"mid"
"19","AIN","APAP","177111668","11/20/01","M","A",0,0,2,"mid"
"20","AIN","APAP","182142314","5/13/03","F","H",0,1,2,"mid"
"21","AIN","APAP","185185928","9/10/03","F","A",0,0,2,"mid"
"22","AIN","APAP","185186120","10/24/03","U","U",0,0,2,"mid"
"23","AIN","APAP","185186121","10/24/03","M","A",0,1,2,"mid"
"24","AIN","APAP","218141543","6/26/02","M","H",0,0,2,"mid"
"25","AIN","APAP","218141582","7/11/02","F","H",0,0,2,"mid"
"26","AIN","APAP","218141585","7/11/02","F","H",0,0,2,"mid"
"27","AIN","APAP","218141593","7/22/02","M","H",0,0,2,"mid"
"28","AIN","APAP","218141597","7/22/02","U","H",0,0,2,"mid"
"29","AIN","APAP","218141611","7/24/02","F","H",0,0,2,"mid"
"30","AIN","APAP","218141614","7/25/02","M","H",0,0,2,"mid"
"31","AIN","APAP","218141627","8/13/02","F","H",0,0,2,"mid"
