"","X","commonname","time","latitude","longitude","region_name","island","site","reef_zone","depth_bin","sitevisitid","date_","obs_year","diver","rep","method","photographer","training_yn","depth","survey_radius_m","hard_coral","soft_coral","ma","cca","ta","sand","tunicate","zoanthid","corallimorph","clam","cyano","sponge","other","other_type","habitat_code","habitat_type","current_strength","visibility","substrate_height_0","substrate_height_20","substrate_height_50","substrate_height_100","substrate_height_150","max_height","urchin_dacor","boring_urchin_dacor","roundid","missionid","min_depth","max_depth","objectid","replicateid","species","taxonname","commonfamilyall","family","scientific_name","trophic","count"
"121734",121734,"Yellow tang","2013-08-03T00:00:00Z",20.19613224,-155.7117529,"Main Hawaiian Islands","Hawaii","HAW-431","Forereef","Mid",5930,"2013-08-03T00:00:00Z",2013,"JMA","A","nSPC",0,-15,12,7.5,5,0,23,2,40,30,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",12,30,20,30,20,0,1.2,"R","R",83,"HA1304",11.3,13.5,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121735",121735,"Yellow tang","2013-08-03T00:00:00Z",20.19613224,-155.7117529,"Main Hawaiian Islands","Hawaii","HAW-431","Forereef","Mid",5930,"2013-08-03T00:00:00Z",2013,"PMA","A","nSPC",-1,-15,10,7.5,5,0,3,1,56,35,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",14,40,25,25,10,0,1.4,"R","R",83,"HA1304",10.7,10.7,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121736",121736,"Yellow tang","2013-08-03T00:00:00Z",20.19749522,-155.7091345,"Main Hawaiian Islands","Hawaii","HAW-397","Forereef","Deep",5929,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,22,7.5,5,0,0,1,74,20,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",15,30,30,25,15,0,1.5,"R","R",83,"HA1304",22.1,23.6,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121737",121737,"Yellow tang","2013-08-03T00:00:00Z",20.19749522,-155.7091345,"Main Hawaiian Islands","Hawaii","HAW-397","Forereef","Deep",5929,"2013-08-03T00:00:00Z",2013,"MKM","A","nSPC",-1,-15,22,7.5,5,0,0,5,60,30,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",16,30,5,10,35,20,2,"R","R",83,"HA1304",21.6,22.6,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121738",121738,"Yellow tang","2013-08-03T00:00:00Z",20.22456148,-155.7370606,"Main Hawaiian Islands","Hawaii","HAW-416","Forereef","Mid",5923,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,10,7.5,10,0,5,5,75,5,0,0,0,0,0,0,NA,NA,"SAG","Spur and Groove","None",15,80,10,10,0,0,1,"R","R",83,"HA1304",9.4,10,1944779,1845958529,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",3
"121739",121739,"Yellow tang","2013-08-03T00:00:00Z",20.22456148,-155.7370606,"Main Hawaiian Islands","Hawaii","HAW-416","Forereef","Mid",5923,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,10,7.5,10,0,5,10,74,1,0,0,0,0,0,0,NA,NA,"SAG","Spur and Groove","None",15,60,35,5,0,0,0.6,"R","O",83,"HA1304",10.3,10.9,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121740",121740,"Yellow tang","2013-08-03T00:00:00Z",20.24326519,-155.7588726,"Main Hawaiian Islands","Hawaii","HAW-402","Forereef","Deep",5924,"2013-08-03T00:00:00Z",2013,"AEG","A","nSPC",0,-15,28,7.5,5,0,25,5,25,40,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,35,10,15,20,20,3,"R","R",83,"HA1304",27.3,28.8,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121741",121741,"Yellow tang","2013-08-03T00:00:00Z",20.24326519,-155.7588726,"Main Hawaiian Islands","Hawaii","HAW-402","Forereef","Deep",5924,"2013-08-03T00:00:00Z",2013,"KCL","A","nSPC",-1,-15,28,7.5,5,0,5,5,65,20,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",16,30,0,35,25,10,1.6,"R","R",83,"HA1304",27.6,30,NA,NA,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",0
"121742",121742,"Yellow tang","2013-08-03T00:00:00Z",20.24361681,-155.8899036,"Main Hawaiian Islands","Hawaii","HAW-460","Forereef","Shallow",5934,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,5,7.5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,20,20,30,25,5,2.5,"O","O",83,"HA1304",5.5,6,1945304,1845958545,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121743",121743,"Yellow tang","2013-08-03T00:00:00Z",20.24361681,-155.8899036,"Main Hawaiian Islands","Hawaii","HAW-460","Forereef","Shallow",5934,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,5,7.5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,20,20,30,25,5,2.5,"O","O",83,"HA1304",5.5,6,1945305,1845958545,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",2
"121744",121744,"Yellow tang","2013-08-03T00:00:00Z",20.24361681,-155.8899036,"Main Hawaiian Islands","Hawaii","HAW-460","Forereef","Shallow",5934,"2013-08-03T00:00:00Z",2013,"JPZ","A","nSPC",0,-15,5,7.5,5,0,0,5,85,5,0,0,0,0,0,0,NA,NA,"ROB","Rock/Boulder","None",20,20,20,30,25,5,2.5,"O","O",83,"HA1304",5.5,6,1945311,1845958545,"ZEFL","Zebrasoma flavescens","Surgeonfish","Acanthuridae","Zebrasoma flavescens","H",1
